timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1740752986211,28,HTTP Request,200,OK,Thread Group 1-236,text,true,,307,257,14,14,http://localhost/exam/Exo1/src/api.php,28,0,0
1740752986209,32,HTTP Request,200,OK,Thread Group 1-235,text,true,,307,257,15,15,http://localhost/exam/Exo1/src/api.php,32,0,0
1740752986213,28,HTTP Request,200,OK,Thread Group 1-237,text,true,,307,257,15,15,http://localhost/exam/Exo1/src/api.php,28,0,0
1740752986216,25,HTTP Request,200,OK,Thread Group 1-238,text,true,,307,257,15,15,http://localhost/exam/Exo1/src/api.php,25,0,0
1740752986207,34,HTTP Request,200,OK,Thread Group 1-234,text,true,,307,257,15,15,http://localhost/exam/Exo1/src/api.php,34,0,0
1740752986233,10,HTTP Request,200,OK,Thread Group 1-246,text,true,,307,257,11,11,http://localhost/exam/Exo1/src/api.php,10,0,0
1740752986240,6,HTTP Request,200,OK,Thread Group 1-250,text,true,,307,257,11,11,http://localhost/exam/Exo1/src/api.php,6,0,0
1740752986225,42,HTTP Request,200,OK,Thread Group 1-243,text,true,,307,257,22,22,http://localhost/exam/Exo1/src/api.php,42,0,0
1740752986222,54,HTTP Request,200,OK,Thread Group 1-241,text,true,,307,257,25,25,http://localhost/exam/Exo1/src/api.php,54,0,0
1740752986223,53,HTTP Request,200,OK,Thread Group 1-242,text,true,,307,257,25,25,http://localhost/exam/Exo1/src/api.php,53,0,0
1740752986234,42,HTTP Request,200,OK,Thread Group 1-247,text,true,,307,257,25,25,http://localhost/exam/Exo1/src/api.php,42,0,0
1740752986228,48,HTTP Request,200,OK,Thread Group 1-245,text,true,,307,257,25,25,http://localhost/exam/Exo1/src/api.php,48,0,1
1740752986249,28,HTTP Request,200,OK,Thread Group 1-255,text,true,,307,257,25,25,http://localhost/exam/Exo1/src/api.php,28,0,1
1740752986238,39,HTTP Request,200,OK,Thread Group 1-249,text,true,,307,257,25,25,http://localhost/exam/Exo1/src/api.php,39,0,0
1740752986227,50,HTTP Request,200,OK,Thread Group 1-244,text,true,,307,257,23,23,http://localhost/exam/Exo1/src/api.php,50,0,1
1740752986246,34,HTTP Request,200,OK,Thread Group 1-253,text,true,,307,257,20,20,http://localhost/exam/Exo1/src/api.php,34,0,1
1740752986244,36,HTTP Request,200,OK,Thread Group 1-252,text,true,,307,257,20,20,http://localhost/exam/Exo1/src/api.php,36,0,1
1740752986247,33,HTTP Request,200,OK,Thread Group 1-254,text,true,,307,257,20,20,http://localhost/exam/Exo1/src/api.php,33,0,1
1740752986241,39,HTTP Request,200,OK,Thread Group 1-251,text,true,,307,257,20,20,http://localhost/exam/Exo1/src/api.php,39,0,1
1740752986236,44,HTTP Request,200,OK,Thread Group 1-248,text,true,,307,257,20,20,http://localhost/exam/Exo1/src/api.php,44,0,0
1740752986274,17,HTTP Request,200,OK,Thread Group 1-268,text,true,,307,257,21,21,http://localhost/exam/Exo1/src/api.php,17,0,0
1740752986256,39,HTTP Request,200,OK,Thread Group 1-258,text,true,,307,257,21,21,http://localhost/exam/Exo1/src/api.php,39,0,0
1740752986253,43,HTTP Request,200,OK,Thread Group 1-257,text,true,,307,257,21,21,http://localhost/exam/Exo1/src/api.php,43,0,0
1740752986252,45,HTTP Request,200,OK,Thread Group 1-256,text,true,,307,257,21,21,http://localhost/exam/Exo1/src/api.php,45,0,0
1740752986260,39,HTTP Request,200,OK,Thread Group 1-261,text,true,,307,257,20,20,http://localhost/exam/Exo1/src/api.php,39,0,0
1740752986258,41,HTTP Request,200,OK,Thread Group 1-260,text,true,,307,257,20,20,http://localhost/exam/Exo1/src/api.php,41,0,0
1740752986263,36,HTTP Request,200,OK,Thread Group 1-262,text,true,,307,257,18,18,http://localhost/exam/Exo1/src/api.php,36,0,0
1740752986257,45,HTTP Request,200,OK,Thread Group 1-259,text,true,,307,257,19,19,http://localhost/exam/Exo1/src/api.php,45,0,0
1740752986264,38,HTTP Request,200,OK,Thread Group 1-263,text,true,,307,257,19,19,http://localhost/exam/Exo1/src/api.php,38,0,0
1740752986279,25,HTTP Request,200,OK,Thread Group 1-270,text,true,,307,257,18,18,http://localhost/exam/Exo1/src/api.php,25,0,0
1740752986277,27,HTTP Request,200,OK,Thread Group 1-269,text,true,,307,257,18,18,http://localhost/exam/Exo1/src/api.php,27,0,1
